392164223||||||
402691450||695361402485|665484699326|016076784064||
384917456||735877520030|696897026360|548617696051||
392189256||||||
390941882||623306353109|106098279310|354282918804||
365119022||893442890815|103344149381|378447497134||
390941491||714845777155|886464549856|143209354513||
384918324||750875771247|153643680324|260896516263||
394801448||827406421304|842735770530|450987358568||
384886411||839413977809|694547077754|300450654556||
402715732||767374277902|107042500234|492124016371||
394801428||806420345522|160883113584|252283092630||
384918310||570789364572|594676782952|043529833934||
384886197||680346472240|808698490082|428097982194||
402691877||575270854993|999551540596|501007152254||
394801666||582798730724|031282531552|532351271521||
392195059||||||
394800926||593279781261|349037279864|486810952854||
394801762||711854895216|650032976346|172587519676||
